source,target
"밴쿠버에서 가장 맛있는 한식 집은?","상호명 : 남한산성(South Castle Korean Restaurant) 주소 : 141 2nd St E, North Vancouver, BC V7L 1C2 캐나다 특징 : 순댓국과 매운 막창이 일품인 집"
"North Van에서 가장 맛있는 집은?","상호명 : 남한산성(South Castle Korean Restaurant) 주소 : 141 2nd St E, North Vancouver, BC V7L 1C2 캐나다 특징 : 순댓국과 매운 막창이 일품인 집"
"곱창집 추천","상호명 : 남한산성(South Castle Korean Restaurant) 주소 : 141 2nd St E, North Vancouver, BC V7L 1C2 캐나다 특징 : 순댓국과 매운 막창이 일품인 집"
"순댓국 먹고 싶어","상호명 : 남한산성(South Castle Korean Restaurant) 주소 : 141 2nd St E, North Vancouver, BC V7L 1C2 캐나다 특징 : 순댓국과 매운 막창이 일품인 집"
"매운거 땡겨","상호명 : 남한산성(South Castle Korean Restaurant) 주소 : 141 2nd St E, North Vancouver, BC V7L 1C2 캐나다 특징 : 순댓국과 매운 막창이 일품인 집"
"매운 곱창집 있어?","상호명 : 남한산성(South Castle Korean Restaurant) 주소 : 141 2nd St E, North Vancouver, BC V7L 1C2 캐나다 특징 : 순댓국과 매운 막창이 일품인 집"
"얼큰한 국밥 먹고 싶어","상호명 : 남한산성(South Castle Korean Restaurant) 주소 : 141 2nd St E, North Vancouver, BC V7L 1C2 캐나다 특징 : 순댓국과 매운 막창이 일품인 집"
"막창 집 추천해줘","상호명 : 남한산성(South Castle Korean Restaurant) 주소 : 141 2nd St E, North Vancouver, BC V7L 1C2 캐나다 특징 : 순댓국과 매운 막창이 일품인 집"
"막창집 추천","상호명 : 남한산성(South Castle Korean Restaurant) 주소 : 141 2nd St E, North Vancouver, BC V7L 1C2 캐나다 특징 : 순댓국과 매운 막창이 일품인 집"
"곱창집 추천해봐","상호명 : 남한산성(South Castle Korean Restaurant) 주소 : 141 2nd St E, North Vancouver, BC V7L 1C2 캐나다 특징 : 순댓국과 매운 막창이 일품인 집"
"막창집 추천해줘","상호명 : 남한산성(South Castle Korean Restaurant) 주소 : 141 2nd St E, North Vancouver, BC V7L 1C2 캐나다 특징 : 순댓국과 매운 막창이 일품인 집"
"매운 막창 먹고 싶어","상호명 : 남한산성(South Castle Korean Restaurant) 주소 : 141 2nd St E, North Vancouver, BC V7L 1C2 캐나다 특징 : 순댓국과 매운 막창이 일품인 집"
"매운 음식 먹고 싶어","상호명 : 남한산성(South Castle Korean Restaurant) 주소 : 141 2nd St E, North Vancouver, BC V7L 1C2 캐나다 특징 : 순댓국과 매운 막창이 일품인 집"
"국밥 먹고 싶어","상호명 : 남한산성(South Castle Korean Restaurant) 주소 : 141 2nd St E, North Vancouver, BC V7L 1C2 캐나다 특징 : 순댓국과 매운 막창이 일품인 집"
"얼큰한 국밥집 추천해줘","상호명 : 남한산성(South Castle Korean Restaurant) 주소 : 141 2nd St E, North Vancouver, BC V7L 1C2 캐나다 특징 : 순댓국과 매운 막창이 일품인 집"
"국밥집 추천","상호명 : 남한산성(South Castle Korean Restaurant) 주소 : 141 2nd St E, North Vancouver, BC V7L 1C2 캐나다 특징 : 순댓국과 매운 막창이 일품인 집"
"캐나다에서 유명한 카페가 뭐 있어?","상호명: 팀 홀튼(Tim Hortons) 주소: 607 Dunsmuir St, Vancouver, BC V6B 1Y7 캐나다 특징: 캐나다의 커피 전문점 프랜차이즈. 토론토 메이플 리프스의 전설적인 아이스하키 선수 팀 호턴이 1964년 온타리오주 해밀턴에 도넛 가게를 개업하며 세워졌다. 지도맵에서 현재 위치 근처의 팀 홀튼을 찾아보자."
"밴쿠버 시내에 있는 카페집 추천해줘","상호명: 팀 홀튼(Tim Hortons) 주소: 607 Dunsmuir St, Vancouver, BC V6B 1Y7 캐나다 특징: 캐나다의 커피 전문점 프랜차이즈. 토론토 메이플 리프스의 전설적인 아이스하키 선수 팀 호턴이 1964년 온타리오주 해밀턴에 도넛 가게를 개업하며 세워졌다. 지도맵에서 현재 위치 근처의 팀 홀튼을 찾아보자."
"커피 마시고 싶어","상호명: 팀 홀튼(Tim Hortons) 주소: 607 Dunsmuir St, Vancouver, BC V6B 1Y7 캐나다 특징: 캐나다의 커피 전문점 프랜차이즈. 토론토 메이플 리프스의 전설적인 아이스하키 선수 팀 호턴이 1964년 온타리오주 해밀턴에 도넛 가게를 개업하며 세워졌다. 지도맵에서 현재 위치 근처의 팀 홀튼을 찾아보자."
"밴쿠버에서 유명한 맛집 추천해줘","상호명: Miku Vancouver 주소: 200 Granville St #70, Vancouver, BC V6C 1S4 캐나다 특징: 고급스러운 일본식 해산물 요리와 뷰가 멋진 레스토랑."
"스시 맛있는 곳 어디야?","상호명: Tojo's Restaurant 주소: 1133 W Broadway, Vancouver, BC V6H 1G1 캐나다 특징: 창의적인 스시와 일본 요리로 유명한 레스토랑."
"일식점 추천해줘","상호명: Tojo's Restaurant 주소: 1133 W Broadway, Vancouver, BC V6H 1G1 캐나다 특징: 창의적인 스시와 일본 요리로 유명한 레스토랑."
"일본음식점 알려줘","상호명: Tojo's Restaurant 주소: 1133 W Broadway, Vancouver, BC V6H 1G1 캐나다 특징: 창의적인 스시와 일본 요리로 유명한 레스토랑."
"초밥 맛있는곳이 어디야?","상호명: Tojo's Restaurant 주소: 1133 W Broadway, Vancouver, BC V6H 1G1 캐나다 특징: 창의적인 스시와 일본 요리로 유명한 레스토랑."
"이탈리아 음식 먹고 싶어","상호명: Ask For Luigi 주소: 305 Alexander St, Vancouver, BC V6A 1C4 캐나다 특징: 캐주얼한 분위기의 이탈리아 요리 전문점."
"밴쿠버에서 피자 맛집 알려줘","상호명: Via Tevere Pizzeria 주소: 1190 Victoria Dr, Vancouver, BC V5L 4G5 캐나다 특징: 나폴리 스타일의 정통 피자를 제공하는 곳."
"이탈리아 전통 피자 집이 있어?","상호명: Via Tevere Pizzeria 주소: 1190 Victoria Dr, Vancouver, BC V5L 4G5 캐나다 특징: 나폴리 스타일의 정통 피자를 제공하는 곳."
"피자 먹고 싶어","상호명: Via Tevere Pizzeria 주소: 1190 Victoria Dr, Vancouver, BC V5L 4G5 캐나다 특징: 나폴리 스타일의 정통 피자를 제공하는 곳."
"피자 맛집 추천해줘","상호명: Via Tevere Pizzeria 주소: 1190 Victoria Dr, Vancouver, BC V5L 4G5 캐나다 특징: 나폴리 스타일의 정통 피자를 제공하는 곳."
"해산물 맛집 추천해줘","상호명: Blue Water Cafe 주소: 1095 Hamilton St, Vancouver, BC V6B 5T4 캐나다 특징: 신선한 해산물 요리와 다양한 와인 리스트를 자랑하는 레스토랑."
"해산물 요리 해주는 집이 있어?","상호명: Blue Water Cafe 주소: 1095 Hamilton St, Vancouver, BC V6B 5T4 캐나다 특징: 신선한 해산물 요리와 다양한 와인 리스트를 자랑하는 레스토랑."
"해산물 요리 먹고 싶어","상호명: Blue Water Cafe 주소: 1095 Hamilton St, Vancouver, BC V6B 5T4 캐나다 특징: 신선한 해산물 요리와 다양한 와인 리스트를 자랑하는 레스토랑."
"와인이랑 해산물 요리 같이 해주는 맛집 알아?","상호명: Blue Water Cafe 주소: 1095 Hamilton St, Vancouver, BC V6B 5T4 캐나다 특징: 신선한 해산물 요리와 다양한 와인 리스트를 자랑하는 레스토랑."
"중식 맛집 어디야?","상호명: Bao Bei Chinese Brasserie 주소: 163 Keefer St, Vancouver, BC V6A 1X4 캐나다 특징: 현대적인 분위기에서 즐길 수 있는 중식 요리."
"밴쿠버에서 브런치 맛집 추천","상호명: Medina Cafe 주소: 780 Richards St, Vancouver, BC V6B 3A4 캐나다 특징: 벨기에 와플과 브런치 메뉴로 유명한 카페."
"벨기에 음식점 알려줘","상호명: Medina Cafe 주소: 780 Richards St, Vancouver, BC V6B 3A4 캐나다 특징: 벨기에 와플과 브런치 메뉴로 유명한 카페."
"브런치로 유명한 곳 있어?","상호명: Medina Cafe 주소: 780 Richards St, Vancouver, BC V6B 3A4 캐나다 특징: 벨기에 와플과 브런치 메뉴로 유명한 카페."
"밴쿠버에서 스테이크 맛집 알려줘","상호명: Gotham Steakhouse & Bar 주소: 615 Seymour St, Vancouver, BC V6B 3K3 캐나다 특징: 고급스러운 스테이크와 칵테일을 제공하는 레스토랑."
"타코 맛있는 곳 어디야?","상호명: Tacofino 주소: 15 W Cordova St, Vancouver, BC V6B 1C8 캐나다 특징: 신선한 재료로 만든 타코와 멕시코 요리를 즐길 수 있는 곳."
"멕시코 음식점 알려줘","상호명: Tacofino 주소: 15 W Cordova St, Vancouver, BC V6B 1C8 캐나다 특징: 신선한 재료로 만든 타코와 멕시코 요리를 즐길 수 있는 곳."
"타코 맛있는 곳이 있어?","상호명: Tacofino 주소: 15 W Cordova St, Vancouver, BC V6B 1C8 캐나다 특징: 신선한 재료로 만든 타코와 멕시코 요리를 즐길 수 있는 곳."
"밴쿠버에서 디저트 맛집 추천","상호명: Thierry Chocolaterie Patisserie Cafe 주소: 1059 Alberni St, Vancouver, BC V6E 1A1 캐나다 특징: 고급 디저트와 초콜릿, 커피를 제공하는 카페."
"밴쿠버에서 일본 라면 맛집 알려줘","상호명: Marutama Ra-men 주소: 780 Bidwell St, Vancouver, BC V6G 2J6 캐나다 특징: 진한 국물과 신선한 면발로 유명한 일본 라면 전문점."
"밴쿠버에서 인도 음식 맛집 추천","상호명: Vij's Restaurant 주소: 3106 Cambie St, Vancouver, BC V5Z 2W2 캐나다 특징: 현대적인 인도 요리로 유명한 레스토랑."
"밴쿠버에서 타이 음식 맛집 알려줘","상호명: Maenam 주소: 1938 W 4th Ave, Vancouver, BC V6J 1M5 캐나다 특징: 현대적인 태국 요리를 제공하는 레스토랑."
"밴쿠버에서 베트남 음식 맛집 추천","상호명: Phnom Penh Restaurant 주소: 244 E Georgia St, Vancouver, BC V6A 1Z7 캐나다 특징: 베트남과 캄보디아 요리를 제공하는 인기 레스토랑."
"밴쿠버에서 채식주의자 음식 맛집 알려줘","상호명: The Acorn 주소: 3995 Main St, Vancouver, BC V5V 3P3 캐나다 특징: 창의적인 채식 요리로 유명한 레스토랑."
"밴쿠버에서 프랑스 음식 맛집 추천","상호명: Le Crocodile 주소: 100-909 Burrard St, Vancouver, BC V6Z 2N2 캐나다 특징: 고급 프랑스 요리를 제공하는 레스토랑."
"밴쿠버에서 중동 음식 맛집 알려줘","상호명: Nuba 주소: 207 W Hastings St, Vancouver, BC V6B 1H7 캐나다 특징: 신선한 중동 요리를 제공하는 레스토랑."
"밴쿠버에서 멕시코 음식 맛집 알려줘", "상호명: La Taqueria Pinche Taco Shop 주소: 322 W Hastings St, Vancouver, BC V6B 1K6 캐나다 특징: 다양한 종류의 맛있는 타코를 제공하는 곳."
"밴쿠버에서 브라질 음식 맛집 추천", "상호명: Rio Brazilian Steakhouse 주소: 689 Denman St, Vancouver, BC V6G 2L3 캐나다 특징: 브라질식 바베큐를 제공하는 레스토랑."
"밴쿠버에서 그리스 음식 맛집 알려줘", "상호명: Stepho's Souvlaki Greek Taverna 주소: 1124 Davie St, Vancouver, BC V6E 1N1 캐나다 특징: 전통 그리스 요리를 즐길 수 있는 레스토랑."
"그리스 음식점추천", "상호명: Stepho's Souvlaki Greek Taverna 주소: 1124 Davie St, Vancouver, BC V6E 1N1 캐나다 특징: 전통 그리스 요리를 즐길 수 있는 레스토랑."
"그리스 음식점 추천해줘", "상호명: Stepho's Souvlaki Greek Taverna 주소: 1124 Davie St, Vancouver, BC V6E 1N1 캐나다 특징: 전통 그리스 요리를 즐길 수 있는 레스토랑."
"맛있는 그리스 음식점이 있어?", "상호명: Stepho's Souvlaki Greek Taverna 주소: 1124 Davie St, Vancouver, BC V6E 1N1 캐나다 특징: 전통 그리스 요리를 즐길 수 있는 레스토랑."
"밴쿠버에맛있는그리스음식점", "상호명: Stepho's Souvlaki Greek Taverna 주소: 1124 Davie St, Vancouver, BC V6E 1N1 캐나다 특징: 전통 그리스 요리를 즐길 수 있는 레스토랑."
"사람들이많이가는그리스음식점이뭐야", "상호명: Stepho's Souvlaki Greek Taverna 주소: 1124 Davie St, Vancouver, BC V6E 1N1 캐나다 특징: 전통 그리스 요리를 즐길 수 있는 레스토랑."
"Vancouver에 그리스 음식점이있어?", "상호명: Stepho's Souvlaki Greek Taverna 주소: 1124 Davie St, Vancouver, BC V6E 1N1 캐나다 특징: 전통 그리스 요리를 즐길 수 있는 레스토랑."
"밴쿠버에서 터키 음식 맛집 추천", "상호명: Anatolia's Gate Restaurant 주소: 7084 Kingsway, Burnaby, BC V5E 1E7 캐나다 특징: 정통 터키 요리를 제공하는 레스토랑."
"밴쿠버에서 남미 음식 맛집 알려줘", "상호명: Silvestre Deli & Bistro 주소: 3170 Main St, Vancouver, BC V5T 3G7 캐나다 특징: 페루 요리를 제공하는 레스토랑."